id,scheme_id:id,code,name,name_en,level,parent_id:id
kc_isced_00,kscheme_isced_f_2013,00,برنامه‌ها و مدارک عمومی,Generic programmes and qualifications,broad,
kc_isced_01,kscheme_isced_f_2013,01,آموزش,Education,broad,
kc_isced_02,kscheme_isced_f_2013,02,هنر و علوم انسانی,Arts and humanities,broad,
kc_isced_03,kscheme_isced_f_2013,03,علوم اجتماعی، روزنامه‌نگاری و اطلاع‌رسانی,"Social sciences, journalism and information",broad,
kc_isced_04,kscheme_isced_f_2013,04,کسب‌وکار، امور اداری و حقوق,"Business, administration and law",broad,
kc_isced_05,kscheme_isced_f_2013,05,علوم طبیعی، ریاضیات و آمار,"Natural sciences, mathematics and statistics",broad,
kc_isced_06,kscheme_isced_f_2013,06,فناوری اطلاعات و ارتباطات (فاوا),Information and Communication Technologies (ICTs),broad,
kc_isced_07,kscheme_isced_f_2013,07,مهندسی، تولید و ساخت‌وساز,"Engineering, manufacturing and construction",broad,
kc_isced_08,kscheme_isced_f_2013,08,کشاورزی، جنگلداری، شیلات و دامپزشکی,"Agriculture, forestry, fisheries and veterinary",broad,
kc_isced_09,kscheme_isced_f_2013,09,سلامت و رفاه اجتماعی,Health and welfare,broad,
kc_isced_10,kscheme_isced_f_2013,10,خدمات,Services,broad,
kc_isced_99,kscheme_isced_f_2013,99,رشته نامعلوم,Field unknown,broad,
kc_isced_000,kscheme_isced_f_2013,000,برنامه‌ها و مدارک عمومی، بدون تعریف دقیق‌تر,Generic programmes and qualifications not further defined,narrow,kc_isced_00
kc_isced_001,kscheme_isced_f_2013,001,برنامه‌ها و مدارک پایه,Basic programmes and qualifications,narrow,kc_isced_00
kc_isced_002,kscheme_isced_f_2013,002,سوادآموزی و حساب,Literacy and numeracy,narrow,kc_isced_00
kc_isced_003,kscheme_isced_f_2013,003,مهارت‌های فردی و رشد شخصی,Personal skills and development,narrow,kc_isced_00
kc_isced_009,kscheme_isced_f_2013,009,برنامه‌ها و مدارک عمومی، طبقه‌بندی‌نشده در جای دیگر,Generic programmes and qualifications not elsewhere classified,narrow,kc_isced_00
kc_isced_011,kscheme_isced_f_2013,011,آموزش,Education,narrow,kc_isced_01
kc_isced_018,kscheme_isced_f_2013,018,برنامه‌ها و مدارک میان‌رشته‌ای در حوزه آموزش,Inter-disciplinary programmes and qualifications involving education,narrow,kc_isced_01
kc_isced_020,kscheme_isced_f_2013,020,هنر و علوم انسانی، بدون تعریف دقیق‌تر,Arts and humanities not further defined,narrow,kc_isced_02
kc_isced_021,kscheme_isced_f_2013,021,هنر,Arts,narrow,kc_isced_02
kc_isced_022,kscheme_isced_f_2013,022,علوم انسانی (به‌جز زبان‌ها),Humanities (except languages),narrow,kc_isced_02
kc_isced_023,kscheme_isced_f_2013,023,زبان‌ها,Languages,narrow,kc_isced_02
kc_isced_028,kscheme_isced_f_2013,028,برنامه‌ها و مدارک میان‌رشته‌ای در حوزه هنر و علوم انسانی,Inter-disciplinary programmes and qualifications involving arts and humanities,narrow,kc_isced_02
kc_isced_029,kscheme_isced_f_2013,029,هنر و علوم انسانی، طبقه‌بندی‌نشده در جای دیگر,Arts and humanities not elsewhere classified,narrow,kc_isced_02
kc_isced_030,kscheme_isced_f_2013,030,علوم اجتماعی، روزنامه‌نگاری و اطلاع‌رسانی، بدون تعریف دقیق‌تر,"Social sciences, journalism and information not further defined",narrow,kc_isced_03
kc_isced_031,kscheme_isced_f_2013,031,علوم اجتماعی و رفتاری,Social and behavioural sciences,narrow,kc_isced_03
kc_isced_032,kscheme_isced_f_2013,032,روزنامه‌نگاری و اطلاع‌رسانی,Journalism and information,narrow,kc_isced_03
kc_isced_038,kscheme_isced_f_2013,038,برنامه‌ها و مدارک میان‌رشته‌ای در حوزه علوم اجتماعی، روزنامه‌نگاری و اطلاع‌رسانی,"Inter-disciplinary programmes and qualifications involving social sciences, journalism and information",narrow,kc_isced_03
kc_isced_039,kscheme_isced_f_2013,039,علوم اجتماعی، روزنامه‌نگاری و اطلاع‌رسانی، طبقه‌بندی‌نشده در جای دیگر,"Social sciences, journalism and information not elsewhere classified",narrow,kc_isced_03
kc_isced_040,kscheme_isced_f_2013,040,کسب‌وکار، امور اداری و حقوق، بدون تعریف دقیق‌تر,"Business, administration and law not further defined",narrow,kc_isced_04
kc_isced_041,kscheme_isced_f_2013,041,کسب‌وکار و امور اداری,Business and administration,narrow,kc_isced_04
kc_isced_042,kscheme_isced_f_2013,042,حقوق,Law,narrow,kc_isced_04
kc_isced_048,kscheme_isced_f_2013,048,برنامه‌ها و مدارک میان‌رشته‌ای در حوزه کسب‌وکار، امور اداری و حقوق,"Inter-disciplinary programmes and qualifications involving business, administration and law",narrow,kc_isced_04
kc_isced_049,kscheme_isced_f_2013,049,کسب‌وکار، امور اداری و حقوق، طبقه‌بندی‌نشده در جای دیگر,"Business, administration and law not elsewhere classified",narrow,kc_isced_04
kc_isced_050,kscheme_isced_f_2013,050,علوم طبیعی، ریاضیات و آمار، بدون تعریف دقیق‌تر,"Natural sciences, mathematics and statistics not further defined",narrow,kc_isced_05
kc_isced_051,kscheme_isced_f_2013,051,علوم زیستی و علوم وابسته,Biological and related sciences,narrow,kc_isced_05
kc_isced_052,kscheme_isced_f_2013,052,محیط زیست,Environment,narrow,kc_isced_05
kc_isced_053,kscheme_isced_f_2013,053,علوم فیزیکی,Physical sciences,narrow,kc_isced_05
kc_isced_054,kscheme_isced_f_2013,054,ریاضیات و آمار,Mathematics and statistics,narrow,kc_isced_05
kc_isced_058,kscheme_isced_f_2013,058,برنامه‌ها و مدارک میان‌رشته‌ای در حوزه علوم طبیعی، ریاضیات و آمار,"Inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",narrow,kc_isced_05
kc_isced_059,kscheme_isced_f_2013,059,علوم طبیعی، ریاضیات و آمار، طبقه‌بندی‌نشده در جای دیگر,"Natural sciences, mathematics and statistics not elsewhere classified",narrow,kc_isced_05
kc_isced_061,kscheme_isced_f_2013,061,فناوری اطلاعات و ارتباطات (فاوا),Information and Communication Technologies (ICTs),narrow,kc_isced_06
kc_isced_068,kscheme_isced_f_2013,068,برنامه‌ها و مدارک میان‌رشته‌ای در حوزه فناوری اطلاعات و ارتباطات (فاوا),Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs),narrow,kc_isced_06
kc_isced_070,kscheme_isced_f_2013,070,مهندسی، تولید و ساخت‌وساز، بدون تعریف دقیق‌تر,"Engineering, manufacturing and construction not further defined",narrow,kc_isced_07
kc_isced_071,kscheme_isced_f_2013,071,مهندسی و حرفه‌های مهندسی,Engineering and engineering trades,narrow,kc_isced_07
kc_isced_072,kscheme_isced_f_2013,072,تولید و فرآوری,Manufacturing and processing,narrow,kc_isced_07
kc_isced_073,kscheme_isced_f_2013,073,معماری و ساخت‌وساز,Architecture and construction,narrow,kc_isced_07
