place,name,kind,source
ir-jazink-city,شهر جزینک,spelling,osm
ir-shahr-kohne,شهر کهنه,spelling,osm
ir-r8902362,شهر صمصامی,spelling,osm
ir-r17583223,شهر تخت سلیمان,spelling,osm
ir-r16606997,شهر آباد,spelling,osm
ir-r8904907,شهر سرخون,spelling,osm
ir-r17526274,شهر منتظران,spelling,osm
ir-r8952867,شهر کاج,spelling,osm
ir-r17583973,شهر سیمینه,spelling,osm
ir-razqan,شهر رازقان,spelling,osm
ir-r8948467,شهر مال خلیفه,spelling,osm
ir-r20805672,شهر رویان,spelling,osm
ir-r13886413,شهر آوه,spelling,osm
ir-saruq,شهر ساروق,spelling,osm
ir-r14171896,شهر بوستان,spelling,osm
ir-r13076838,شهر توره,spelling,osm
ir-vanak,شهر ونک,spelling,osm
ir-r13089103,شهر هندودر,spelling,osm
ir-r16759565,شهر مزرج,spelling,osm
ir-madar-e-soleyman,شهر مادر سلیمان,spelling,osm
ir-khak-ali-city,شهر خاکعلی,spelling,osm
ir-chelgerd,شهر چلگرد,spelling,osm
ir-r13447627,شهر شهیون,spelling,osm
ir-r16700061,شهر کشاورز,spelling,osm
ir-r8973355,شهر سودجان,spelling,osm
ir-r17582588,شهر بکتاش,spelling,osm
ir-r21310279,شهر ارداق,spelling,osm
ir-r13099367,شهر قورچی باشی,spelling,osm
ir-r8953461,شهر چلیچه,spelling,osm
ir-r16767207,شهر خواجو شهر,spelling,osm
ir-r17574175,شهر چوکام,spelling,osm
ir-r14214421,شهر مینوشهر,spelling,osm
ir-paliz-city,شهر پالیز,spelling,osm
ir-r11144069,شهر قدمگاه,spelling,osm
ir-farg-qaleh,شهر فرگ قلعه,spelling,osm
ir-r11147753,شهر اصلاندوز,spelling,osm
ir-khenejin,شهر خنجین,spelling,osm
ir-r8973977,شهر گوجان,spelling,osm
ir-r11138790,شهر رونیز,spelling,osm
ir-karchan,شهر کارچان,spelling,osm
ir-sardasht-lordegan,شهر سردشت لردگان,spelling,osm
ir-r6816109,شهر طاقانک,spelling,osm
ir-r20782167,شهر چم گلک,spelling,osm
