place,other,relation,source
ir-r16347723,ir-shahin-shahr,adjacent,osm
ir-gorgab,ir-shahin-shahr,adjacent,osm
ir-r16789836,ir-mashhad,adjacent,osm
ir-r15681932,ir-jamaran-mahdieh,adjacent,osm
ir-sureshjan,ir-r17530105,adjacent,osm
ir-r17350351,ir-r6556707,adjacent,osm
ir-shams-tabrizi,ir-beylankoh-momtaz,adjacent,osm
ir-shams-tabrizi,ir-w624922141,adjacent,osm
ir-hamedan-university-of-medical-science,ir-w624403416,adjacent,osm
ir-hamedan-university-of-medical-science,ir-ghaem-square,adjacent,osm
ir-hamedan-university-of-medical-science,ir-park-mardom,adjacent,osm
ir-hamedan-university-of-medical-science,ir-mardom-poeple-park,adjacent,osm
ir-hamedan-university-of-medical-science,ir-hospital-bu-ali,adjacent,osm
ir-hamedan-university-of-medical-science,ir-w500283365,adjacent,osm
ir-hamedan-university-of-medical-science,ir-w624362030,adjacent,osm
ir-hamedan-university-of-medical-science,ir-bagh-mouze,adjacent,osm
ir-hamedan-university-of-medical-science,ir-w625151102,adjacent,osm
ir-hamedan-university-of-medical-science,ir-kolab,adjacent,osm
ir-hamedan-university-of-medical-science,ir-buali-sina-university,adjacent,osm
ir-hamedan-university-of-medical-science,ir-bu-ali-sina-university,adjacent,osm
ir-w212300862,ir-w624403416,adjacent,osm
ir-w212300862,ir-ghaem-square,adjacent,osm
ir-w212300862,ir-park-mardom,adjacent,osm
ir-w212300862,ir-mardom-poeple-park,adjacent,osm
ir-w212300862,ir-hospital-bu-ali,adjacent,osm
ir-w212300862,ir-w500283365,adjacent,osm
ir-w212300862,ir-w624362030,adjacent,osm
ir-w212300862,ir-bagh-mouze,adjacent,osm
ir-w212300862,ir-w625151102,adjacent,osm
ir-w212300862,ir-kolab,adjacent,osm
ir-w212300862,ir-buali-sina-university,adjacent,osm
ir-w212300862,ir-bu-ali-sina-university,adjacent,osm
ir-park-mardom,ir-w624379045,adjacent,osm
ir-park-mardom,ir-ostandari-2,adjacent,osm
ir-park-mardom,ir-w624403416,adjacent,osm
ir-park-mardom,ir-ghaem-square,adjacent,osm
ir-park-mardom,ir-hamedan-univercity-of-technology,adjacent,osm
ir-park-mardom,ir-w522691662,adjacent,osm
ir-park-mardom,ir-hospital-bu-ali,adjacent,osm
ir-park-mardom,ir-w500283365,adjacent,osm
ir-park-mardom,ir-shokriyeh,adjacent,osm
ir-park-mardom,ir-w624653131,adjacent,osm
ir-park-mardom,ir-w624646391,adjacent,osm
ir-park-mardom,ir-mahdiyeh,adjacent,osm
ir-park-mardom,ir-buali-sina-university,adjacent,osm
ir-park-mardom,ir-bu-ali-sina-university,adjacent,osm
ir-mardom-poeple-park,ir-w624379045,adjacent,osm
ir-mardom-poeple-park,ir-ostandari-2,adjacent,osm
ir-mardom-poeple-park,ir-w624403416,adjacent,osm
ir-mardom-poeple-park,ir-ghaem-square,adjacent,osm
ir-mardom-poeple-park,ir-hamedan-univercity-of-technology,adjacent,osm
ir-mardom-poeple-park,ir-w522691662,adjacent,osm
ir-mardom-poeple-park,ir-hospital-bu-ali,adjacent,osm
ir-mardom-poeple-park,ir-w500283365,adjacent,osm
ir-mardom-poeple-park,ir-shokriyeh,adjacent,osm
ir-mardom-poeple-park,ir-w624653131,adjacent,osm
ir-mardom-poeple-park,ir-w624646391,adjacent,osm
ir-mardom-poeple-park,ir-mahdiyeh,adjacent,osm
ir-mardom-poeple-park,ir-buali-sina-university,adjacent,osm
ir-mardom-poeple-park,ir-bu-ali-sina-university,adjacent,osm
ir-farhangian-town-2,ir-eslam-shahr-shahpasand,adjacent,osm
ir-farhangian-town-2,ir-ali-abad-town,adjacent,osm
ir-farhangian-town-2,ir-ali-abad-town-2,adjacent,osm
ir-farhangian-town-2,ir-ashora-square,adjacent,osm
ir-farhangian-town-2,ir-ghasem-abad-2,adjacent,osm
ir-farhangian-town-2,ir-r8686207,adjacent,osm
ir-farhangian-town-2,ir-w625144756,adjacent,osm
ir-w212301637,ir-eslam-shahr-shahpasand,adjacent,osm
ir-w212301637,ir-ali-abad-town,adjacent,osm
ir-w212301637,ir-ali-abad-town-2,adjacent,osm
ir-w212301637,ir-ashora-square,adjacent,osm
ir-w212301637,ir-ghasem-abad-2,adjacent,osm
ir-w212301637,ir-r8686207,adjacent,osm
ir-w212301637,ir-w625144756,adjacent,osm
ir-baghe-behesht-cemetery,ir-mazaghineh,adjacent,osm
ir-baghe-behesht-cemetery,ir-w624210388,adjacent,osm
ir-baghe-behesht-cemetery,ir-w624722706,adjacent,osm
ir-baghe-behesht-cemetery,ir-jadeh-mazaghineh,adjacent,osm
ir-baghe-behesht-cemetery,ir-emam-hasan-square,adjacent,osm
ir-baghe-behesht-cemetery,ir-w625139580,adjacent,osm
ir-baghe-behesht-cemetery,ir-babak-crossroad,adjacent,osm
ir-baghe-behesht-cemetery,ir-w624712247,adjacent,osm
ir-w212301643,ir-mazaghineh,adjacent,osm
ir-w212301643,ir-w624210388,adjacent,osm
ir-w212301643,ir-w624722706,adjacent,osm
ir-w212301643,ir-jadeh-mazaghineh,adjacent,osm
ir-w212301643,ir-emam-hasan-square,adjacent,osm
ir-w212301643,ir-w625139580,adjacent,osm
ir-w212301643,ir-babak-crossroad,adjacent,osm
ir-w212301643,ir-w624712247,adjacent,osm
ir-sadeghieyeh,ir-hospital-of-artesh,adjacent,osm
ir-sadeghieyeh,ir-w624700103,adjacent,osm
ir-sadeghieyeh,ir-w490620258,adjacent,osm
ir-sadeghieyeh,ir-r8672226,adjacent,osm
ir-sadeghieyeh,ir-vaiasr-dizaj-town,adjacent,osm
ir-sadeghieyeh,ir-valiasr-dizaj-town,adjacent,osm
ir-sadeghieyeh,ir-r8686207,adjacent,osm
ir-sadeghieyeh,ir-w625144756,adjacent,osm
ir-sadeghiyeh-2,ir-hospital-of-artesh,adjacent,osm
ir-sadeghiyeh-2,ir-w624700103,adjacent,osm
ir-sadeghiyeh-2,ir-w490620258,adjacent,osm
ir-sadeghiyeh-2,ir-r8672226,adjacent,osm
ir-sadeghiyeh-2,ir-vaiasr-dizaj-town,adjacent,osm
ir-sadeghiyeh-2,ir-valiasr-dizaj-town,adjacent,osm
ir-sadeghiyeh-2,ir-r8686207,adjacent,osm
ir-sadeghiyeh-2,ir-w625144756,adjacent,osm
