id,place_id/id,name,kind,source
alias_r15687579_0,place_r15687579,شهر جزینک,spelling,osm
alias_r8682892_1,place_r8682892,شهر کهنه,spelling,osm
alias_r8902362_2,place_r8902362,شهر صمصامی,spelling,osm
alias_r17583223_3,place_r17583223,شهر تخت سلیمان,spelling,osm
alias_r16606997_4,place_r16606997,شهر آباد,spelling,osm
alias_r8904907_5,place_r8904907,شهر سرخون,spelling,osm
alias_r17526274_6,place_r17526274,شهر منتظران,spelling,osm
alias_r8952867_7,place_r8952867,شهر کاج,spelling,osm
alias_r17583973_8,place_r17583973,شهر سیمینه,spelling,osm
alias_r13063182_9,place_r13063182,شهر رازقان,spelling,osm
alias_r8948467_10,place_r8948467,شهر مال خلیفه,spelling,osm
alias_r20805672_11,place_r20805672,شهر رویان,spelling,osm
alias_r13886413_12,place_r13886413,شهر آوه,spelling,osm
alias_r12449199_13,place_r12449199,شهر ساروق,spelling,osm
alias_r14171896_14,place_r14171896,شهر بوستان,spelling,osm
alias_r13076838_15,place_r13076838,شهر توره,spelling,osm
alias_r14151494_16,place_r14151494,شهر ونک,spelling,osm
alias_r13089103_17,place_r13089103,شهر هندودر,spelling,osm
alias_r16759565_18,place_r16759565,شهر مزرج,spelling,osm
alias_r14155296_19,place_r14155296,شهر مادر سلیمان,spelling,osm
alias_r12978182_20,place_r12978182,شهر خاکعلی,spelling,osm
alias_r6892906_21,place_r6892906,شهر چلگرد,spelling,osm
alias_r13447627_22,place_r13447627,شهر شهیون,spelling,osm
alias_r16700061_23,place_r16700061,شهر کشاورز,spelling,osm
alias_r8973355_24,place_r8973355,شهر سودجان,spelling,osm
alias_r17582588_25,place_r17582588,شهر بکتاش,spelling,osm
alias_r21310279_26,place_r21310279,شهر ارداق,spelling,osm
alias_r13099367_27,place_r13099367,شهر قورچی باشی,spelling,osm
alias_r8953461_28,place_r8953461,شهر چلیچه,spelling,osm
alias_r16767207_29,place_r16767207,شهر خواجو شهر,spelling,osm
alias_r17574175_30,place_r17574175,شهر چوکام,spelling,osm
alias_r14214421_31,place_r14214421,شهر مینوشهر,spelling,osm
alias_r13813610_32,place_r13813610,شهر پالیز,spelling,osm
alias_r11144069_33,place_r11144069,شهر قدمگاه,spelling,osm
alias_r14150085_34,place_r14150085,شهر فرگ قلعه,spelling,osm
alias_r11147753_35,place_r11147753,شهر اصلاندوز,spelling,osm
alias_r12450422_36,place_r12450422,شهر خنجین,spelling,osm
alias_r8973977_37,place_r8973977,شهر گوجان,spelling,osm
alias_r11138790_38,place_r11138790,شهر رونیز,spelling,osm
alias_r12449441_39,place_r12449441,شهر کارچان,spelling,osm
alias_r8973396_40,place_r8973396,شهر سردشت لردگان,spelling,osm
alias_r6816109_41,place_r6816109,شهر طاقانک,spelling,osm
alias_r20782167_42,place_r20782167,شهر چم گلک,spelling,osm
alias_r15681793_43,place_r15681793,منطقه ۴ شهرداری ساری,spelling,osm
alias_r7012873_44,place_r7012873,شهر وردنجان,spelling,osm
alias_r17008211_45,place_r17008211,شهر حر ریاحی,spelling,osm
alias_r12466616_46,place_r12466616,شهر جاورسیان,spelling,osm
alias_r14153714_47,place_r14153714,شهر رحمت آباد,spelling,osm
alias_r8973327_48,place_r8973327,شهر دستنا,spelling,osm
alias_r17794229_49,place_r17794229,شهر نرجه,spelling,osm
alias_r6825510_50,place_r6825510,شهر سفید دشت,spelling,osm
alias_r11138742_51,place_r11138742,شهر ایج,spelling,osm
alias_r16736055_52,place_r16736055,شهر نوربهار,spelling,osm
alias_r16612734_53,place_r16612734,شهر دیزیچه,spelling,osm
alias_r14151495_54,place_r14151495,شهر حنا,spelling,osm
alias_r8904610_55,place_r8904610,شهر بازفت,spelling,osm
alias_r8948084_56,place_r8948084,شهر دشتک,spelling,osm
alias_r17245188_57,place_r17245188,شهر امیریه,spelling,osm
alias_w1092588105_58,place_w1092588105,شهر امام,spelling,osm
alias_r8973335_59,place_r8973335,شهر آلونی,spelling,osm
alias_r12452927_60,place_r12452927,شهر تلخاب,spelling,osm
alias_r12444284_61,place_r12444284,شهر اشترینان,spelling,osm
alias_r9520833_62,place_r9520833,شهر فیروزه,spelling,osm
alias_r18535359_63,place_r18535359,شهر کشکسرای,spelling,osm
alias_r16703115_64,place_r16703115,شهر شنبه,spelling,osm
alias_r6827274_65,place_r6827274,شهر نافچ,spelling,osm
alias_r16736057_66,place_r16736057,شهر زرین رود,spelling,osm
alias_r9594081_67,place_r9594081,شهر کلات,spelling,osm
alias_r7168143_68,place_r7168143,شهر پردنجان,spelling,osm
alias_r16739155_69,place_r16739155,شهر قشلاق,spelling,osm
alias_r9845595_70,place_r9845595,شهر گلزار,spelling,osm
alias_r8973985_71,place_r8973985,شهر گندمان,spelling,osm
alias_r7173405_72,place_r7173405,شهر باباحیدر,spelling,osm
alias_r9569599_73,place_r9569599,شهر رضویه,spelling,osm
alias_r16736053_74,place_r16736053,شهر کرسف,spelling,osm
alias_r6793841_75,place_r6793841,شهر کیان,spelling,osm
alias_r8973407_76,place_r8973407,شهر ناغان,spelling,osm
alias_r13064319_77,place_r13064319,شهر خشکرود,spelling,osm
