id,place_id/id,other_id/id,relation,source
link_r16347723_r6606071,place_r16347723,place_r6606071,adjacent,osm
link_w37212991_r6606071,place_w37212991,place_r6606071,adjacent,osm
link_r16789836_r5725142,place_r16789836,place_r5725142,adjacent,osm
link_r15681932_r10054651,place_r15681932,place_r10054651,adjacent,osm
link_r7786098_r17530105,place_r7786098,place_r17530105,adjacent,osm
link_r17350351_r6556707,place_r17350351,place_r6556707,adjacent,osm
link_r8681329_r8681421,place_r8681329,place_r8681421,adjacent,osm
link_r8681329_w624922141,place_r8681329,place_w624922141,adjacent,osm
link_r8672145_w624403416,place_r8672145,place_w624403416,adjacent,osm
link_r8672145_r8673217,place_r8672145,place_r8673217,adjacent,osm
link_r8672145_r8672425,place_r8672145,place_r8672425,adjacent,osm
link_r8672145_w212300884,place_r8672145,place_w212300884,adjacent,osm
link_r8672145_r8672348,place_r8672145,place_r8672348,adjacent,osm
link_r8672145_w500283365,place_r8672145,place_w500283365,adjacent,osm
link_r8672145_w624362030,place_r8672145,place_w624362030,adjacent,osm
link_r8672145_r8672658,place_r8672145,place_r8672658,adjacent,osm
link_r8672145_w625151102,place_r8672145,place_w625151102,adjacent,osm
link_r8672145_r8686476,place_r8672145,place_r8686476,adjacent,osm
link_r8672145_r8672117,place_r8672145,place_r8672117,adjacent,osm
link_r8672145_w522696530,place_r8672145,place_w522696530,adjacent,osm
link_w212300862_w624403416,place_w212300862,place_w624403416,adjacent,osm
link_w212300862_r8673217,place_w212300862,place_r8673217,adjacent,osm
link_w212300862_r8672425,place_w212300862,place_r8672425,adjacent,osm
link_w212300862_w212300884,place_w212300862,place_w212300884,adjacent,osm
link_w212300862_r8672348,place_w212300862,place_r8672348,adjacent,osm
link_w212300862_w500283365,place_w212300862,place_w500283365,adjacent,osm
link_w212300862_w624362030,place_w212300862,place_w624362030,adjacent,osm
link_w212300862_r8672658,place_w212300862,place_r8672658,adjacent,osm
link_w212300862_w625151102,place_w212300862,place_w625151102,adjacent,osm
link_w212300862_r8686476,place_w212300862,place_r8686476,adjacent,osm
link_w212300862_r8672117,place_w212300862,place_r8672117,adjacent,osm
link_w212300862_w522696530,place_w212300862,place_w522696530,adjacent,osm
link_r8672425_w624379045,place_r8672425,place_w624379045,adjacent,osm
link_r8672425_r8672852,place_r8672425,place_r8672852,adjacent,osm
link_r8672425_w624403416,place_r8672425,place_w624403416,adjacent,osm
link_r8672425_r8673217,place_r8672425,place_r8673217,adjacent,osm
link_r8672425_r8672331,place_r8672425,place_r8672331,adjacent,osm
link_r8672425_w522691662,place_r8672425,place_w522691662,adjacent,osm
link_r8672425_r8672348,place_r8672425,place_r8672348,adjacent,osm
link_r8672425_w500283365,place_r8672425,place_w500283365,adjacent,osm
