id,name,name_en,code,kind,parent_id/id,in_path,latitude,longitude,source
place_country-ir,ایران,IR,ir-ir,country,,False,,,osm:country-ir
place_r12242407,جزیره خارک,,ir-r12242407,city,,True,29.156213,50.34649,osm:r12242407
place_province-ir-18,استان بوشهر,Bushehr Province,ir-bushehr-province,province,place_country-ir,True,,,osm:province-ir-18
place_r1015996,استان البرز,Alborz Province,ir-alborz-province,province,place_country-ir,True,35.940076,50.783396,osm:r1015996
place_r2232180,استان آذربایجان شرقی,East Azerbaijan Province,ir-east-azerbaijan-province,province,place_country-ir,True,38.076452,46.553421,osm:r2232180
place_r225444,استان خراسان شمالی,North Khorasan Province,ir-north-khorasan-province,province,place_country-ir,True,37.426931,57.192619,osm:r225444
place_r229593,استان کرمان,Kerman Province,ir-kerman-province,province,place_country-ir,True,29.198069,57.268933,osm:r229593
place_r229766,استان ایلام,Ilam Province,ir-ilam-province,province,place_country-ir,True,33.043323,46.872409,osm:r229766
place_r229893,استان لرستان,Lorestan Province,ir-lorestan-province,province,place_country-ir,True,33.515196,48.323312,osm:r229893
place_r229958,استان مرکزی,Markazi Province,ir-markazi-province,province,place_country-ir,True,34.477168,49.581814,osm:r229958
place_r230033,استان چهارمحال و بختیاری,Chaharmahal and Bakhtiyari Province,ir-chaharmahal-and-bakhtiyari-province,province,place_country-ir,True,31.97851,50.809375,osm:r230033
place_r241037,استان کرمانشاه,Kermanshah Province,ir-kermanshah-province,province,place_country-ir,True,34.486732,46.808727,osm:r241037
place_r241038,استان همدان,Hamadan Province,ir-hamadan-province,province,place_country-ir,True,34.869817,48.559012,osm:r241038
place_r241471,استان قزوین,Qazvin Province,ir-qazvin-province,province,place_country-ir,True,36.102803,50.043565,osm:r241471
place_r241472,استان گیلان,Gilan Province,ir-gilan-province,province,place_country-ir,True,37.506949,49.543267,osm:r241472
place_r241473,استان زنجان,Zanjan Province,ir-zanjan-province,province,place_country-ir,True,36.411131,48.401451,osm:r241473
place_r241474,استان سمنان,Semnan Province,ir-semnan-province,province,place_country-ir,True,35.78164,54.994677,osm:r241474
place_r241475,استان اصفهان,Isfahan Province,ir-isfahan-province,province,place_country-ir,True,32.61191,52.075289,osm:r241475
place_r241478,استان کهگیلویه و بویر احمد,Kohgiluye and Buyer Ahmad Province,ir-kohgiluye-and-buyer-ahmad-province,province,place_country-ir,True,30.691773,51.108371,osm:r241478
place_r241546,استان کردستان,Kurdistan Province,ir-kurdistan-province,province,place_country-ir,True,35.59777,46.994925,osm:r241546
place_r241593,استان آذربایجان غربی,West Azerbaijan Province,ir-west-azerbaijan-province,province,place_country-ir,True,37.875124,44.854646,osm:r241593
place_r255446,استان فارس,Fars Province,ir-fars-province,province,place_country-ir,True,29.362098,53.297733,osm:r255446
place_r269635,استان اردبیل,Ardabil Province,ir-ardabil-province,province,place_country-ir,True,38.40657,47.985721,osm:r269635
place_r269900,استان مازندران,Mazandaran Province,ir-mazandaran-province,province,place_country-ir,True,36.448651,52.402976,osm:r269900
place_r269903,استان گلستان,Golestan Province,ir-golestan-province,province,place_country-ir,True,37.315655,54.732757,osm:r269903
place_r3300249,استان یزد,Yazd Province,ir-yazd-province,province,place_country-ir,True,31.491403,54.48901,osm:r3300249
place_r3385992,استان هرمزگان,Hormozgan Province,ir-hormozgan-province,province,place_country-ir,True,26.994522,55.114016,osm:r3385992
place_r3661581,استان خوزستان,Khuzestan Province,ir-khuzestan-province,province,place_country-ir,True,31.333309,48.979863,osm:r3661581
place_r537657,استان خراسان رضوی,Razavi Khorasan,ir-razavi-khorasan,province,place_country-ir,True,35.795453,59.048041,osm:r537657
place_r537658,استان خراسان جنوبی,South Khorasan Province,ir-south-khorasan-province,province,place_country-ir,True,32.832878,58.224846,osm:r537658
place_r537693,استان سیستان و بلوچستان,Sistan and Baluchestan Province,ir-sistan-and-baluchestan-province,province,place_country-ir,True,28.16206,61.154764,osm:r537693
place_r537701,استان تهران,Tehran Province,ir-tehran-province,province,place_country-ir,True,35.48344,51.410462,osm:r537701
place_r537702,استان قم,Qom Province,ir-qom-province,province,place_country-ir,True,34.688144,51.011449,osm:r537702
place_r11015551,بخش مرکزی شهرستان صالح آباد,,ir-r11015551,county,place_r537657,False,35.670621,60.948684,osm:r11015551
place_r11093556,شهرستان زبرخان,Zeberkhan County,ir-zeberkhan-county,county,place_r537657,False,36.083359,59.131329,osm:r11093556
place_r11093557,شهرستان ششتمد,Sheshtamad County,ir-sheshtamad-county,county,place_r537657,False,35.811027,57.942886,osm:r11093557
place_r11096697,شهرستان کوهسرخ,KoohSorkh County,ir-koohsorkh-county,county,place_r537657,False,35.607512,58.398051,osm:r11096697
place_r11144781,شهرستان خانمیرزا,Khanmirza County,ir-khanmirza-county,county,place_r230033,False,31.575279,50.993983,osm:r11144781
place_r11147665,شهرستان بمپور,Bampour County,ir-bampour-county,county,place_r537693,False,27.167688,60.242656,osm:r11147665
place_r11147752,شهرستان اصلاندوز,AslanDuz County,ir-aslanduz-county,county,place_r269635,False,39.371593,47.558418,osm:r11147752
place_r11155682,شهرستان هلیلان,Holeylan County,ir-holeylan-county,county,place_r229766,False,33.809284,47.09664,osm:r11155682
place_r11164344,شهرستان کوه‌چنار,Kooh Chenar County,ir-kooh-chenar-county,county,place_r255446,False,29.759969,51.750193,osm:r11164344
place_r11166543,شهرستان سرچهان,Sarchehan County,ir-sarchehan-county,county,place_r255446,False,30.073166,53.667006,osm:r11166543
place_r11166656,شهرستان بختگان,Bakhtegan County,ir-bakhtegan-county,county,place_r255446,False,29.60441,53.843451,osm:r11166656
place_r12164947,دهستان تمبک,Tombak Rural District,ir-tombak-rural-district,county,place_province-ir-18,False,27.555468,51.998219,osm:r12164947
place_r12173252,شهرستان گلبهار,Golbahar County,ir-golbahar-county,county,place_r537657,False,36.565819,59.180168,osm:r12173252
place_r12225017,شهرستان راسک,Rask County,ir-rask-county,county,place_r537693,False,26.158134,61.545443,osm:r12225017
place_r12225357,شهرستان دشتیاری,Dashtiari County,ir-dashtiari-county,county,place_r537693,False,25.395879,61.311031,osm:r12225357
place_r12225371,شهرستان درگزین,Dargazin County,ir-dargazin-county,county,place_r241038,False,35.354123,49.257093,osm:r12225371
place_r12225381,شهرستان مارگون,Margown County,ir-margown-county,county,place_r241478,False,31.170976,50.866739,osm:r12225381
place_r12242493,دهستان دویره,,ir-r12242493,county,place_province-ir-18,False,29.023002,51.066868,osm:r12242493
place_r12242538,دهستان چاه کوتاه,,ir-r12242538,county,place_province-ir-18,False,29.14899,51.005142,osm:r12242538
place_r12242571,دهستان شیرینو,Shirinu Rural District,ir-shirinu-rural-district,county,place_province-ir-18,False,27.403438,52.282629,osm:r12242571
place_r13073995,شهرستان کرخه,Karkheh County,ir-karkheh-county,county,place_r3661581,False,31.871957,48.363617,osm:r13073995
place_r13074061,شهرستان خمام,Khomam County,ir-khomam-county,county,place_r241472,False,37.551874,49.72121,osm:r13074061
place_r13074214,شهرستان چوار,Chavar County,ir-chavar-county,county,place_r229766,False,33.696339,46.085517,osm:r13074214
place_r13074227,شهرستان انگوت,Ungut County,ir-ungut-county,county,place_r269635,False,39.044074,47.706448,osm:r13074227
