code,name,name_en,kind,parent,in_path,latitude,longitude,source
ir-ir,ایران,IR,country,,False,,,osm:country-ir
ir-bushehr-province,استان بوشهر,Bushehr Province,province,ir-ir,True,,,osm:province-ir-18
ir-alborz-province,استان البرز,Alborz Province,province,ir-ir,True,35.940076,50.783396,osm:r1015996
ir-east-azerbaijan-province,استان آذربایجان شرقی,East Azerbaijan Province,province,ir-ir,True,38.076452,46.553421,osm:r2232180
ir-north-khorasan-province,استان خراسان شمالی,North Khorasan Province,province,ir-ir,True,37.426931,57.192619,osm:r225444
ir-kerman-province,استان کرمان,Kerman Province,province,ir-ir,True,29.198069,57.268933,osm:r229593
ir-ilam-province,استان ایلام,Ilam Province,province,ir-ir,True,33.043323,46.872409,osm:r229766
ir-lorestan-province,استان لرستان,Lorestan Province,province,ir-ir,True,33.515196,48.323312,osm:r229893
ir-markazi-province,استان مرکزی,Markazi Province,province,ir-ir,True,34.477168,49.581814,osm:r229958
ir-chaharmahal-and-bakhtiyari-province,استان چهارمحال و بختیاری,Chaharmahal and Bakhtiyari Province,province,ir-ir,True,31.97851,50.809375,osm:r230033
ir-kermanshah-province,استان کرمانشاه,Kermanshah Province,province,ir-ir,True,34.486732,46.808727,osm:r241037
ir-hamadan-province,استان همدان,Hamadan Province,province,ir-ir,True,34.869817,48.559012,osm:r241038
ir-qazvin-province,استان قزوین,Qazvin Province,province,ir-ir,True,36.102803,50.043565,osm:r241471
ir-gilan-province,استان گیلان,Gilan Province,province,ir-ir,True,37.506949,49.543267,osm:r241472
ir-zanjan-province,استان زنجان,Zanjan Province,province,ir-ir,True,36.411131,48.401451,osm:r241473
ir-semnan-province,استان سمنان,Semnan Province,province,ir-ir,True,35.78164,54.994677,osm:r241474
ir-isfahan-province,استان اصفهان,Isfahan Province,province,ir-ir,True,32.61191,52.075289,osm:r241475
ir-kohgiluye-and-buyer-ahmad-province,استان کهگیلویه و بویر احمد,Kohgiluye and Buyer Ahmad Province,province,ir-ir,True,30.691773,51.108371,osm:r241478
ir-kurdistan-province,استان کردستان,Kurdistan Province,province,ir-ir,True,35.59777,46.994925,osm:r241546
ir-west-azerbaijan-province,استان آذربایجان غربی,West Azerbaijan Province,province,ir-ir,True,37.875124,44.854646,osm:r241593
ir-fars-province,استان فارس,Fars Province,province,ir-ir,True,29.362098,53.297733,osm:r255446
ir-ardabil-province,استان اردبیل,Ardabil Province,province,ir-ir,True,38.40657,47.985721,osm:r269635
ir-mazandaran-province,استان مازندران,Mazandaran Province,province,ir-ir,True,36.448651,52.402976,osm:r269900
ir-golestan-province,استان گلستان,Golestan Province,province,ir-ir,True,37.315655,54.732757,osm:r269903
ir-yazd-province,استان یزد,Yazd Province,province,ir-ir,True,31.491403,54.48901,osm:r3300249
ir-hormozgan-province,استان هرمزگان,Hormozgan Province,province,ir-ir,True,26.994522,55.114016,osm:r3385992
ir-khuzestan-province,استان خوزستان,Khuzestan Province,province,ir-ir,True,31.333309,48.979863,osm:r3661581
ir-razavi-khorasan,استان خراسان رضوی,Razavi Khorasan,province,ir-ir,True,35.795453,59.048041,osm:r537657
ir-south-khorasan-province,استان خراسان جنوبی,South Khorasan Province,province,ir-ir,True,32.832878,58.224846,osm:r537658
ir-sistan-and-baluchestan-province,استان سیستان و بلوچستان,Sistan and Baluchestan Province,province,ir-ir,True,28.16206,61.154764,osm:r537693
ir-tehran-province,استان تهران,Tehran Province,province,ir-ir,True,35.48344,51.410462,osm:r537701
ir-qom-province,استان قم,Qom Province,province,ir-ir,True,34.688144,51.011449,osm:r537702
ir-r11015551,بخش مرکزی شهرستان صالح آباد,,county,ir-razavi-khorasan,False,35.670621,60.948684,osm:r11015551
ir-zeberkhan-county,شهرستان زبرخان,Zeberkhan County,county,ir-razavi-khorasan,False,36.083359,59.131329,osm:r11093556
ir-sheshtamad-county,شهرستان ششتمد,Sheshtamad County,county,ir-razavi-khorasan,False,35.811027,57.942886,osm:r11093557
ir-koohsorkh-county,شهرستان کوهسرخ,KoohSorkh County,county,ir-razavi-khorasan,False,35.607512,58.398051,osm:r11096697
ir-khanmirza-county,شهرستان خانمیرزا,Khanmirza County,county,ir-chaharmahal-and-bakhtiyari-province,False,31.575279,50.993983,osm:r11144781
ir-bampour-county,شهرستان بمپور,Bampour County,county,ir-sistan-and-baluchestan-province,False,27.167688,60.242656,osm:r11147665
ir-aslanduz-county,شهرستان اصلاندوز,AslanDuz County,county,ir-ardabil-province,False,39.371593,47.558418,osm:r11147752
ir-holeylan-county,شهرستان هلیلان,Holeylan County,county,ir-ilam-province,False,33.809284,47.09664,osm:r11155682
ir-kooh-chenar-county,شهرستان کوه‌چنار,Kooh Chenar County,county,ir-fars-province,False,29.759969,51.750193,osm:r11164344
ir-sarchehan-county,شهرستان سرچهان,Sarchehan County,county,ir-fars-province,False,30.073166,53.667006,osm:r11166543
ir-bakhtegan-county,شهرستان بختگان,Bakhtegan County,county,ir-fars-province,False,29.60441,53.843451,osm:r11166656
ir-tombak-rural-district,دهستان تمبک,Tombak Rural District,county,ir-bushehr-province,False,27.555468,51.998219,osm:r12164947
ir-golbahar-county,شهرستان گلبهار,Golbahar County,county,ir-razavi-khorasan,False,36.565819,59.180168,osm:r12173252
ir-rask-county,شهرستان راسک,Rask County,county,ir-sistan-and-baluchestan-province,False,26.158134,61.545443,osm:r12225017
